,Unnamed: 0,track_uri,track_name,artist_name,artist_popularity,artist_followers,artist_genres,album,track_popularity,track_danceability,track_energy,track_loudness,track_tempo,track_duration_ms,is_explict_content
7185,7185,spotify:track:1kBx9VGumfuvlfqdlAGorE,Hell Of A View,Eric Church,75,3227912,"('contemporary country', 'country', 'country road', 'modern country rock')",Hell Of A View,67,0.689,0.582,-6.778,99.021,175280,0.0
7186,7186,spotify:track:0Cs31CzQp6peDLWVCK0app,Ocean,Lady A,74,3422339,"('contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'neo mellow')",Ocean,0,0.58,0.36,-7.93,99.194,210113,
7187,7187,spotify:track:4j6GMcVcqZf1r0GDqMtYp6,Prayed For You,Matt Stell,60,40065,"('arkansas country', 'contemporary country', 'country pop')",Everywhere But On,66,0.6,0.698,-5.86,140.032,210373,0.0
7188,7188,spotify:track:55lJN2gIzJM9SCfwzxAEjf,I Don't Wanna Go To Heaven,Nate Smith,62,42848,"('contemporary country',)",I Don't Wanna Go To Heaven,68,0.455,0.451,-7.544,104.662,201294,0.0
7189,7189,spotify:track:7uGOee7hJuojRb20CSKXAO,Always Gonna Love You,Alana Springsteen,55,13219,"('contemporary country', 'country pop')",Always Gonna Love You,51,0.576,0.474,-5.504,143.998,228165,0.0
7190,7190,spotify:track:2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours (with Justin Bieber)",Dan + Shay,79,2492772,"('contemporary country', 'country', 'pop')","10,000 Hours (with Justin Bieber)",81,0.654,0.63,-4.644,89.991,167693,
7191,7191,spotify:track:33V8ZNvopdCm8BsEKzGXgM,Ran into You,Mitch Rossell,52,14070,"('contemporary country', 'country pop', 'country road', 'modern country rock')",Ran into You,58,0.648,0.601,-6.092,129.896,213471,0.0
7192,7192,spotify:track:5kNe7PE09d6Kvw5pAsx23n,Die A Happy Man,Thomas Rhett,77,3989834,"('contemporary country', 'country', 'country road', 'modern country rock')",Tangled Up,74,0.595,0.389,-9.245,166.052,227427,0.0
7193,7193,spotify:track:4SgbELGcdmMdVtSbpkSG6x,Makin' Plans,Miranda Lambert,74,2984626,"('contemporary country', 'country', 'country dawn', 'country road')",Revolution,57,0.441,0.463,-8.041,79.611,230000,0.0
7194,7194,spotify:track:3lUg5sjsXAJD6BAULCFTA5,Promise to Love Her,Blane Howard,44,5003,"('arkansas country',)",Promise to Love Her,58,0.54,0.513,-6.978,78.862,197658,0.0
7195,7195,spotify:track:1NpSPbM86yviUBBfsYtvvy,You Got Me,Olivia Lane,42,23278,"('contemporary country', 'country pop')",You Got Me,0,0.519,0.739,-3.584,88.891,200981,
7196,7196,spotify:track:0SA1RVvy3x161K2PcW2CSO,Shallow (The Duet with Garth Brooks and Trisha Yearwood),Trisha Yearwood,65,955410,"('contemporary country', 'country', 'country dawn', 'country road', 'country rock')",Shallow (The Duet with Garth Brooks and Trisha Yearwood),60,0.359,0.392,-7.879,95.494,221869,0.0
7197,7197,spotify:track:2OqlfzJ5w5NHkcjXJm5997,Between You & Me (feat. Ashley Cooke),Roman Alexander,51,7314,"('country pop',)",Between You & Me (feat. Ashley Cooke),63,0.629,0.615,-7.645,99.968,169019,0.0
7198,7198,spotify:track:7AmQ1Qpbp3Bb3CDLnMbWWq,World For Two,King Calaway,40,8604,"('country pop',)",Rivers,52,0.677,0.446,-8.096,96.947,185640,
7199,7199,spotify:track:56eGOeSsqdg3FLxdo83TwV,Rumor,Lee Brice,74,1644314,"('contemporary country', 'country', 'country road', 'modern country rock')",Lee Brice,73,0.655,0.56,-6.857,140.975,198440,
7200,7200,spotify:track:19P6cJstaoQJHtHW3HOGcg,The Rest of Our Life,Tim McGraw,75,3816208,"('contemporary country', 'country', 'country road')",The Rest of Our Life,61,0.617,0.468,-6.908,119.921,225360,
7201,7201,spotify:track:132gv2iIWfIInnqHNucPIW,Where Would I Be,Lady A,74,3422339,"('contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'neo mellow')",Where Would I Be,51,0.489,0.641,-6.943,93.665,223400,0.0
7202,7202,spotify:track:3hhSnbFhuGnXieFa1ql61R,Blessed,Thomas Rhett,77,3989834,"('contemporary country', 'country', 'country road', 'modern country rock')",Center Point Road,60,0.536,0.496,-6.027,175.007,214173,
7203,7203,spotify:track:1cS5zPEqTHf6bpgTKF0iN2,Something Special,Aubrie Sellers,39,12811,"('country pop',)",Something Special,47,0.56,0.359,-10.14,87.605,206240,
7204,7204,spotify:track:0t0ODvxpVPS2dcGGTgsnq9,Found It in You,Tiera,44,5216,"('black americana',)",Found It in You,55,0.392,0.785,-5.815,79.45,194766,0.0
7205,7205,spotify:track:6EGAfJaLUFzhS4zRBIEQ2J,You Make It Easy,Jason Aldean,78,4951565,"('contemporary country', 'country', 'country road')",Rearview Town,71,0.375,0.574,-5.305,132.025,196800,0.0
7206,7206,spotify:track:74EV2uPNEXmX3UGInlPxM3,Everywhere I'm Goin',Maddie & Tae,66,839487,"('contemporary country', 'country', 'country pop')",Everywhere I'm Goin',53,0.52,0.689,-4.64,79.007,210200,0.0
7207,7207,spotify:track:1nggCj00NY7GRx0CyWcMKY,All I Need to See,Mitch Rossell,52,14070,"('contemporary country', 'country pop', 'country road', 'modern country rock')",All I Need to See,56,0.682,0.714,-6.775,115.986,268423,0.0
7208,7208,spotify:track:4QakuMSCrvw79FQV55xx6T,Steady Heart,Kameron Marlowe,61,34042,"('contemporary country', 'country pop')",Steady Heart,60,0.516,0.481,-6.587,144.097,213207,
7209,7209,spotify:track:567gPvGfxxKoZxDKqM9tEl,Parallel Line,Keith Urban,75,4475531,"('australian country', 'australian pop', 'contemporary country', 'country', 'country road')",Graffiti U,61,0.621,0.477,-5.284,81.976,253084,
7210,7210,spotify:track:2yQZwi1P8AkkxxFhQ8rMEK,Greatest Love Story,LANCO,59,372526,"('contemporary country', 'country pop')",Hallelujah Nights,70,0.669,0.617,-8.72,147.992,222573,0.0
7211,7211,spotify:track:1ipcb9qXpSHWhSUvdxJhsx,"Forever and Ever, Amen",Randy Travis,67,1231634,"('country', 'country gospel', 'country road', 'country rock')",Always & Forever,68,0.677,0.724,-8.992,90.392,212640,0.0
7212,7212,spotify:track:3QHoAWfAasn6X4AFzkppRF,Love Is Real,Morgan Evans,63,134000,"('australian country', 'australian pop', 'contemporary country')",Love Is Real,47,0.645,0.732,-5.089,95.02,162973,
7213,7213,spotify:track:3hiInJVk1CpxELmEJiU0uP,The Difference,Tyler Rich,59,102182,"('contemporary country', 'country', 'country pop')",The Difference,0,0.538,0.764,-5.235,169.919,187867,
7214,7214,spotify:track:4TCc369aRPRubv1m8R1TBG,Got What I Got,Jason Aldean,78,4951565,"('contemporary country', 'country', 'country road')",9,72,0.512,0.58,-6.658,159.847,178147,
7215,7215,spotify:track:3VamXAvVMczcS2PTYtPfBQ,Best Shot,Jimmie Allen,67,142877,"('black americana', 'contemporary country')",Mercury Lane,69,0.629,0.464,-8.72,156.051,195053,
