,track_uri,track_name,artist_name,artist_popularity,artist_followers,artist_genres,album,track_popularity,track_danceability,track_energy,track_loudness,track_tempo,track_duration_ms,is_explict_content
5394,spotify:track:0fCWbJq1hagsRgShtn6gIU,Rock And Roll All Nite,KISS,75,6647779,"('album rock', 'classic rock', 'glam rock', 'hard rock', 'metal', 'rock')",Dressed To Kill (Remastered Version),49,0.654,0.929,-5.906,144.774,168840,0.0
5395,spotify:track:4HzdhXWJqczW6gOIXT6QRH,Iron Man,Black Sabbath,75,5836777,"('album rock', 'birmingham metal', 'classic rock', 'hard rock', 'metal', 'rock', 'stoner rock', 'uk doom metal')",Paranoid (Remastered),0,0.338,0.767,-11.51,154.97,354773,0.0
5396,spotify:track:1hlveB9M6ijHZRbzZ2teyh,We're Not Gonna Take It,Twisted Sister,66,1918345,"('album rock', 'glam metal', 'hard rock', 'metal', 'rock')",Stay Hungry,74,0.502,0.924,-6.299,149.186,219667,0.0
5397,spotify:track:2SiXAy7TuUkycRVbbWDEpo,You Shook Me All Night Long,AC/DC,84,21774222,"('australian rock', 'hard rock', 'rock')",Back In Black,81,0.532,0.767,-5.509,127.361,210173,0.0
5398,spotify:track:4Yx9Tw9dTgQ8eGCq3PRDyn,Raining Blood,Slayer,67,2839479,"('alternative metal', 'death metal', 'hard rock', 'metal', 'nu metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal')",Reign In Blood (Expanded),0,0.301,0.995,-4.394,88.15,255187,0.0
5399,spotify:track:1XxUDJp9zsjd6tBSvE3la4,Heavy Metal,Sammy Hagar,58,687646,"('album rock', 'classic rock', 'country rock', 'glam metal', 'hard rock', 'heartland rock', 'mellow gold', 'metal', 'rock', 'soft rock')",Standing Hampton,64,0.276,0.639,-11.674,186.502,230507,0.0
5400,spotify:track:05RgAMGypEvqhNs5hPCbMS,Panama - 2015 Remaster,Van Halen,75,4421531,"('album rock', 'classic rock', 'hard rock', 'metal', 'rock')",1984 (Remastered),73,0.526,0.978,-5.436,141.167,210227,0.0
5402,spotify:track:5XfWzGa5zuz88IOYbWNTMa,Mr. Crowley,Ozzy Osbourne,75,3952878,"('album rock', 'birmingham metal', 'hard rock', 'metal', 'rock')",Blizzard of Ozz (Expanded Edition),0,0.287,0.757,-6.482,108.554,302640,1.0
5403,spotify:track:07q0QVgO56EorrSGHC48y3,I Was Made For Lovin' You,KISS,75,6647779,"('album rock', 'classic rock', 'glam rock', 'hard rock', 'metal', 'rock')",Dynasty,82,0.768,0.852,-6.215,128.373,271240,0.0
5404,spotify:track:4E5xVW505akJX0wcKj8Mpd,Tornado Of Souls - Remastered 2004,Megadeth,72,3730757,"('album rock', 'alternative metal', 'hard rock', 'melodic thrash', 'metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal')",Rust In Peace (Expanded Edition),66,0.519,0.982,-3.547,97.745,319267,0.0
5405,spotify:track:7N3PAbqfTjSEU1edb2tY8j,Jump - 2015 Remaster,Van Halen,75,4421531,"('album rock', 'classic rock', 'hard rock', 'metal', 'rock')",1984 (Remastered),79,0.572,0.835,-6.219,129.981,241600,0.0
5406,spotify:track:6qxi41lmbH35MT29bqlL4k,We Rock,Dio,65,1865799,"('album rock', 'glam metal', 'hard rock', 'metal', 'power metal', 'rock')",The Last In Line,56,0.327,0.873,-10.779,153.012,273867,0.0
5407,spotify:track:08mG3Y1vljYA6bvDt4Wqkj,Back In Black,AC/DC,84,21774222,"('australian rock', 'hard rock', 'rock')",Back In Black,85,0.31,0.7,-5.678,188.386,255493,0.0
5408,spotify:track:7xzmJPFQAn0O1ZYYtbGRlz,The Kids Are Back,Twisted Sister,66,1918345,"('album rock', 'glam metal', 'hard rock', 'metal', 'rock')",You Can't Stop Rock 'N' Roll,58,0.557,0.843,-4.338,138.339,198800,0.0
5409,spotify:track:2J420Sc7XqgKoEXPKl751p,Bark at the Moon,Ozzy Osbourne,75,3952878,"('album rock', 'birmingham metal', 'hard rock', 'metal', 'rock')",Bark At the Moon,0,0.333,0.934,-4.187,146.369,255293,0.0
5410,spotify:track:4eZDMbQm12jmaTFT6fOBwo,War Pigs,Black Sabbath,75,5836777,"('album rock', 'birmingham metal', 'classic rock', 'hard rock', 'metal', 'rock', 'stoner rock', 'uk doom metal')",Paranoid (Remastered),0,0.445,0.612,-12.025,91.732,474400,0.0
5411,spotify:track:0hLQWHwB6GZlkASpS7DkdW,No One Like You - 2015 Remaster,Scorpions,76,5174856,"('album rock', 'german hard rock', 'german metal', 'german rock', 'hard rock', 'metal', 'rock')",Blackout,58,0.441,0.796,-2.851,118.146,238867,0.0
5412,spotify:track:2lRhq1ZfHNiaVNHkTWeXUv,Long Live Rock N Roll,Rainbow,65,1137490,"('album rock', 'classic rock', 'glam metal', 'hard rock', 'metal', 'rock')",Long Live Rock N Roll (Deluxe Edition),56,0.345,0.924,-7.767,142.378,261733,0.0
5413,spotify:track:1hqrYSqvNc9x3BETX1cZhk,Shout At The Devil,Mötley Crüe,74,3655929,"('glam metal', 'hard rock', 'metal', 'rock', 'sleaze rock')",Shout At The Devil,67,0.489,0.953,-4.615,94.443,195853,0.0
5414,spotify:track:6xoy7rjhumfn7cbq3mpnUk,Wild Child,W.A.S.P.,60,709929,"('album rock', 'glam metal', 'hard rock', 'metal', 'rock')",The Last Command,10,0.357,0.897,-6.37,146.272,312573,0.0
5415,spotify:track:57bgtoPSgt236HzfBOd8kj,Thunderstruck,AC/DC,84,21774222,"('australian rock', 'hard rock', 'rock')",The Razors Edge,84,0.502,0.89,-5.175,133.52,292880,0.0
5416,spotify:track:6DRvu6LgU0wRF6Yr7WHRji,Madhouse,Anthrax,60,1247546,"('album rock', 'alternative metal', 'hard rock', 'metal', 'nu metal', 'old school thrash', 'rap metal', 'rock', 'speed metal', 'thrash metal')",Spreading The Disease,0,0.331,0.79,-11.612,163.479,259933,0.0
5417,spotify:track:3KhF2YiNpJvGpfiCW45R6D,Runnin' with the Devil - 2015 Remaster,Van Halen,75,4421531,"('album rock', 'classic rock', 'hard rock', 'metal', 'rock')",Van Halen (Remastered),70,0.472,0.9,-6.406,95.826,214960,0.0
5418,spotify:track:288cy2QRIj1CA7s1Ifu0ip,Blackout - 2015 Remaster,Scorpions,76,5174856,"('album rock', 'german hard rock', 'german metal', 'german rock', 'hard rock', 'metal', 'rock')",Blackout,43,0.186,0.943,-2.154,179.557,230840,0.0
5419,spotify:track:4W2CRPuOl8wN3aR7QmOmQE,Killed by Death,Motörhead,69,3044533,"('album rock', 'alternative metal', 'hard rock', 'metal', 'rock', 'speed metal')",No Remorse (Deluxe Edition),0,0.379,0.953,-4.969,134.579,278307,0.0
5420,spotify:track:3U9gogDStAfWxSm91PJuxb,South Of Heaven,Slayer,67,2839479,"('alternative metal', 'death metal', 'hard rock', 'metal', 'nu metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal')",South Of Heaven,61,0.31,0.991,-3.769,140.071,298533,1.0
5421,spotify:track:3D8KAebbZgAFdVjTrsNgOI,Race with the Devil,Girlschool,43,61965,"('hard rock', 'metal', 'nwobhm')",Demolition,53,0.21,0.882,-6.942,169.758,171960,0.0
5422,spotify:track:5uRN4EmPA7BWs5f4xsIl0Z,Looks That Kill,Mötley Crüe,74,3655929,"('glam metal', 'hard rock', 'metal', 'rock', 'sleaze rock')",Shout At The Devil,63,0.485,0.945,-5.954,135.957,249013,0.0
5423,spotify:track:395uj20WFZvffLXIGFD0u6,I Wanna Be Somebody,W.A.S.P.,60,709929,"('album rock', 'glam metal', 'hard rock', 'metal', 'rock')",W.A.S.P.,14,0.274,0.859,-6.036,164.26,223813,1.0
5424,spotify:track:3PtaFRuHFIlF6ZcMVE4lF8,Princess Of The Dawn,Accept,62,698940,"('album rock', 'german heavy metal', 'german metal', 'glam metal', 'hard rock', 'metal', 'power metal', 'rock', 'speed metal', 'thrash metal')",Restless And Wild,46,0.631,0.495,-13.374,128.818,376307,0.0
5425,spotify:track:6SUudbR4vTazN9Jb7QWQn5,Princess of the Night,Saxon,54,436851,"('album rock', 'glam metal', 'hard rock', 'metal', 'nwobhm', 'power metal', 'rock')",Denim and Leather,50,0.33,0.841,-5.303,106.807,242453,0.0
5426,spotify:track:4N4guy1faBG6oseDnhjkWy,Since You Been Gone,Rainbow,65,1137490,"('album rock', 'classic rock', 'glam metal', 'hard rock', 'metal', 'rock')",Down To Earth (Deluxe Edition),0,0.716,0.821,-4.204,120.737,197867,0.0
5427,spotify:track:1Krtfh550kyhfWPcRp6SnD,Overkill,Motörhead,69,3044533,"('album rock', 'alternative metal', 'hard rock', 'metal', 'rock', 'speed metal')",Overkill (Deluxe Edition),0,0.27,0.886,-6.899,119.285,313520,0.0
5428,spotify:track:2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,AC/DC,84,21774222,"('australian rock', 'hard rock', 'rock')",Highway to Hell,85,0.574,0.913,-4.793,115.728,208400,0.0
5429,spotify:track:1fcyfC1KLSWVCIvALR5AxS,Indians,Anthrax,60,1247546,"('album rock', 'alternative metal', 'hard rock', 'metal', 'nu metal', 'old school thrash', 'rap metal', 'rock', 'speed metal', 'thrash metal')",Among The Living,55,0.379,0.941,-10.443,105.155,341333,0.0
