,Unnamed: 0,track_uri,track_name,artist_name,artist_popularity,artist_followers,artist_genres,album,track_popularity,track_danceability,track_energy,track_loudness,track_tempo,track_duration_ms
2751,2751,spotify:track:6Owf9tXo9S2GZiVDXG7xrK,Pink Elephants,Timestreet,39,38,(),Waterfalls,54,0.55,0.199,-19.384,139.999,171429
2752,2752,spotify:track:4R2kOSRbf4gCFAFkebVmSG,oblivion,Poetics,50,5058,(),oblivion,55,0.601,0.0117,-25.472,111.017,103789
2753,2753,spotify:track:3atyuxObBb1LkmKcvEZT95,Boutique,Lunchmoney,40,3455,"('lo-fi beats',)",Boutique,50,0.648,0.25,-16.382,161.716,112593
2754,2754,spotify:track:5u6VZLh8SRuyuCRm6QAaDE,Summerheat,LelleXCX,37,22,(),Youth,46,0.66,0.177,-19.726,78.014,123077
2755,2755,spotify:track:3YegC72pbwviu6fy5zbPh3,Shingo,The Graph,31,17,(),Shingo,46,0.921,0.287,-10.859,132.181,166336
2756,2756,spotify:track:6Xtcf7QFYmF4ye41fkpOh9,fotka,Dan Betz,35,15,(),fotka,49,0.629,0.0545,-15.383,68.001,121772
2757,2757,spotify:track:1DE2OTIUPBhBCmwrfSgnu4,lake hylia,Poetics,50,5058,(),lake hylia,54,0.84,0.313,-24.095,121.035,111080
2758,2758,spotify:track:6YsXDpB5gqbNZiAIn8T4Ty,Upward Falling,Tamala Bay,42,44,(),Upward Falling,56,0.647,0.186,-18.718,80.008,147000
2759,2759,spotify:track:0NEg0G2YPFVcZZ3Uo3LWjW,E. Z. Breezy Beautiful,Blackburri,49,126,"('study beats',)",E. Z. Breezy Beautiful,46,0.745,0.143,-16.245,78.968,196709
2760,2760,spotify:track:5OTiKhOHOO4IKJALSneHzz,Motivated (Not),ChillsmokeႿ,43,276,(),Broken Heartbeats,53,0.609,0.184,-18.896,109.976,156841
2761,2761,spotify:track:2nG9Kq8al1Y8CwuikqWXut,mararun,m3lly,33,5,(),mararun,47,0.453,0.305,-14.073,172.625,126393
2762,2762,spotify:track:5qcuzoVn3eqQiDPIcSqo6g,Voices In My Head,Maci,42,33,(),Voices In My Head,45,0.658,0.374,-14.818,164.145,140488
2763,2763,spotify:track:5gdq4y3L394cn4I9eKPsmA,Sugar Haze,HM Surf,60,24539,"('chillhop', 'lo-fi beats')",Cocobolo,0,0.764,0.0911,-23.454,130.003,147692
2764,2764,spotify:track:5Atzb2RbMN2l8YKUElBiyM,bulb,niff_,38,9,(),bulb,52,0.659,0.66,-11.516,140.25,125615
2765,2765,spotify:track:17EyMtoMHoVj1LQyOluAEO,sound by night,scratchine,34,8,(),sound by night,48,0.656,0.48,-9.602,76.468,149571
2766,2766,spotify:track:7C3jWjgrThp6qP0KS6zZwy,Paper Plane,Kid Kio,58,1796,(),Paper Plane,56,0.602,0.382,-11.869,149.916,128100
